"","titre","resume","mots.clefs","mots.clefs_nb","auteurs","Auteurs_sexes","auteurs_nb","Annee","Volume","Numero","Periode","rubrique_net1","ident","rubrique_net","auteurs_nbs","langue"
"11","trajectoires d’activité des immigrés : une approche sociohistorique, 1968-2008","Les immigrés sont souvent considérés, dans le débat public, comme s’ils formaient un ensemble homogène et indifférencié. Cet article vise à contribuer, dans la lignée d’autres travaux historiques ou sociodémographiques, à une meilleure compréhension de la diversité de leurs trajectoires en France. Pour cela, il étudie les trajectoires d’activité d’individus arrivés en France après 1968, en s’appuyant sur l’enquête Trajectoires et origines (TeO) conduite par l’Ined et l’Insee en 2008, en particulier sur son calendrier rétrospectif. La méthode d’appariement optimal, couplée à une modélisation des probabilités de transition entre divers états des trajectoires d’activité, permet de construire et de qualifier sociologiquement des types de trajectoires, mais aussi d’expliquer les transitions les plus structurantes au sein de la population entre études et non-emploi, emploi et chômage, inactivité au foyer et salariat. Les trajectoires d’activité ainsi analysées sont déterminées par le sexe, les expériences professionnelles éventuelles avant la migration, ainsi que par le pays d’origine et l’âge à la migration. Sur le plan historique, les années 1970 reconfigurent les modalités d’entrée dans un monde du travail plus précaire, plus fréquemment marqué par des moments hors salariat.","Sociologie de l'immigration; histoire de l'immigration; marché du travail; appariement optimal; modélisation; trajectoires d'activité",6,"Pierre Blavier; Anton Perdoncin","HommeS",2,2020,75,1,"(2010,2020]","article",27,"article","2","fr"
"12","transformations sociales de l’agglomération parisienne au cours du xxe siècle : une approche longitudinale et générationnelle des inégalités d’accès à la ville","La région Île-de-France a connu de profondes transformations au cours de la seconde moitié du xxe siècle : dépeuplement de Paris et réhabilitation de certains quartiers, densification des banlieues et périurbanisation. Ces changements sont à l’origine de redistributions importantes des populations au sein de l’agglomération parisienne, avec le départ d’une partie des classes populaires et moyennes de Paris intra-muros vers la banlieue, l’arrivée de nouvelles classes populaires migrantes, et l’amorce du processus de gentrification de la capitale. Bien que majoritairement produits selon une approche transversale, les travaux sur les ségrégations urbaines suggèrent depuis plusieurs décennies que l’évolution des mobilités géographiques des individus et des ménages est liée à celle des divisions sociales de l’espace. Cet article propose de compléter ces recherches à partir d’un corpus original d’enquêtes de l’Ined en région parisienne, qui permet d’étudier la mobilité de générations ayant participé aux transformations sociales de la capitale et de ses périphéries de 1930 à 2000. Les résultats montrent un renforcement du lien au fil des générations entre la position sociale et la centralité de la position géographique, au fur et à mesure de l’étalement urbain et du développement des réseaux de transport.","approche biographique; mobilité géographique; classes sociales; transport; accessibilité; Paris",6,"Guillaume Le Roux; Christophe Imbert; Arnaud Bringé; Catherine Bonvalet","MixteS",4,2020,75,1,"(2010,2020]","article",28,"article","4+","fr"
"13","la guerre de 1914-1918 et la disparition des noms de famille en france : un essai d'estimation à partir du modèle galton-watson","Aucune étude en France ne s’est intéressée à l’éventuelle réduction du stock patronymique imputable à la guerre de 1914-1918. L’objet de ce travail est d’estimer l’ampleur du phénomène en prenant en compte les effets aléatoires de la disparition des noms selon le modèle d’extinction de Galton-Watson, la distribution du nombre d’enfants par ménage et la proportion de patronymes selon le nombre de porteurs. Les estimations, sur la France entière et par département, sont établies sur la base du fichier des « Morts pour la France » et du fichier Insee des noms de familles. Si les pertes humaines imputables à la Grande Guerre sont inégalement distribuées sur le territoire, avec un nombre de morts plus élevé au nord d’une ligne La Rochelle-Mulhouse, les pertes patronymiques sont géographiquement différemment réparties et plus nombreuses dans les Pyrénées, en Corse et en Bretagne. Pour autant, les patronymes effectivement disparus ne représentent qu’une proportion faible (1,4%) de l’ensemble des patronymes des MPF. Par département, cette proportion est très variable et souvent en contradiction avec le modèle de Galton- Watson qui prévoit davantage de disparitions. Plusieurs explications sont avancées : elles tiennent au mode de constitution des deux fichiers et aux hypothèses démographiques formulées.","Guerre 1914-1918; France; patronymes; Morts pour la France; Galton-Watson",5,"Pierre Darlu; Pascal Chareille","HommeS",2,2020,75,1,"(2010,2020]","article",29,"article","2","fr"
"14","l’évolution démographique récente de la france : une singularité en europe ?","Le 1er janvier 2019, la France comptait tout juste 67 millions d’habitants (66,99) soit 13,1 % de la population de l’Union européenne des 28. L’année 2018 se caractérise par le faible nombre de naissances (759 000) et un nombre de décès qui dépasse 600 000 pour la première fois depuis l’après-guerre (614 000). Le flux d’entrées d’étrangers soumis à l’obligation d’un titre de séjour est en augmentation (237 742 personnes, + 9 % par rapport à 2016). Ce flux se masculinise du fait de la part croissante des personnes en provenance d’Afrique et d’Asie. La France se caractérise par un taux d’immigration parmi les plus faible d’Europe. Avec un indice conjoncturel de fécondité de 1,87 enfant par femme, la France reste le pays le plus fécond d’Europe. L’indice conjoncturel d’IVG est pour sa part de 0,56 par femme en 2018. Petit à petit, le nombre de pacs rejoint le nombre de mariages (4 pacs pour 5 mariages). Les unions entre personnes de même sexe représente une part stable en 2017 (3,1 % des mariages et 3,8 % des pacs). Enfin, l’espérance de vie augmente encore mais à un rythme ralentit. Elle est la plus élevée d’Europe pour les femmes, ce qui n’est pas le cas pour les hommes (9e). Si la France se démarque par une prévalence faible des décès par maladie cardiovasculaire, la situation est nettement moins favorable pour la mortalité aux âges jeunes et notamment très jeune (mortalité infantile).","France; conjoncture démographique; migration; fécondité; conjugalité; mariage; pacs; union libre; divorce; rupture de pacs; couple de même sexe; vieillissement; mortalité; mortalité par cause; comparaisons européennes",15,"Didier Breton; Magali Barbieri; Nicolas Belliot; Hippolyte d’Albis; Magali Mazuy","MixteS",5,2019,74,4,"(2010,2020]","la conjoncture démographique",36,"article","4+","fr"
"15","cinq ans de mariages de même sexe en france : des différences entre les couples d’hommes et les couples de femmes","Depuis 2013, la France a suivi de nombreux pays européens en ouvrant le mariage aux couples de même sexe, mais peu d’éléments permettent d’estimer la proportion et les caractéristiques sociodémographiques des couples de même sexe qui ont choisi de se marier. À partir des données d’état civil sur les mariages, nous montrons que les couples d’hommes sont plus âgés et plus souvent parisiens, tandis que les couples de femmes ressemblent davantage aux couples de sexe différent. En revanche, les couples binationaux sont plus rares chez ces dernières. Ces différences traduisent sans doute des variations genrées dans le rapport à l’institution matrimoniale et une plus grande importance des enjeux juridiques liés à l’adoption pour les lesbiennes. Enfin, ce travail situe les couples mariés par rapport aux couples cohabitants présents dans l’enquête Famille et logements, faisant ainsi apparaître certaines spécificités des couples mariés.","mariage; sexualités; genre; conjugalité; unions; couples de même sexe; France",7,"Gaëlle Meslay","Femme",1,2019,74,4,"(2010,2020]","la conjoncture démographique",37,"article","1","fr"
"16","la séparation chez les couples corésidents de même sexe et de sexe différent","Les couples de même sexe s’inscrivent dans un schéma de diversification des situations conjugales et familiales en Europe. L’enquête Générations et genre (Generations and Gender Survey), utilisée ici pour six pays européens (Allemagne, Belgique, France, Norvège, Pays-Bas, Suède), permet d’analyser l’histoire conjugale des individus et le sexe des partenaires avec qui ils ont cohabité au cours de leur vie. Après avoir tenu compte des erreurs d’encodage du sexe inhérentes à ce type d’enquêtes, nous comparons les risques de rupture des couples formés d’un homme et d’une femme aux couples de personnes de même sexe, avec un modèle de Cox. Ces résultats montrent que les couples de même sexe présentent un risque brut plus élevé de connaître une séparation (2,4 ois) que les couples de sexe différent, mais qui se réduit lorsque les variables explicatives et de contrôle sont introduites dans les modèles. Le mariage et la présence d’enfants constituent deux éléments majeurs augmentant la longévité des couples de sexe différent, situations que les couples de même sexe connaissent moins fréquemment.","couple; couple de même sexe; cohabitation; séparation; Generations and Gender Survey",5,"Benjamin Marteau","Homme",1,2019,74,4,"(2010,2020]","la conjoncture démographique",38,"article","1","fr"
"17","comment évoluent les inégalités de performances scolaires au collège ? un suivi longitudinal des élèves entre la 6e et la 3e","La focalisation de la sociologie de l’éducation sur les inégalités sociales de réussite d’une part, et d’orientation d’autre part, tend à laisser dans l’ombre les inégalités d’évolution des performances scolaires en France. Or, c’est au fil des trajectoires que se construisent ces inégalités. En s’appuyant sur un échantillon représentatif des entrants en 6e en 2007, cet article s’intéresse aux inégalités sociales d’évolution des performances en français et en mathématiques de la 6e à la 3e. Il montre d’abord que les écarts en fonction de la classe sociale, du sexe et du pays de naissance des parents se creusent pendant les années de collège, au détriment des élèves de classes populaires, des garçons, et des enfants dont les parents sont nés au Maghreb ou en Afrique subsaharienne. Il étudie ensuite le rôle des conditions de scolarisation, démontrant que les évolutions négatives des performances scolaires des élèves dont les parents sont nés au Maghreb ou en Afrique subsaharienne s’expliquent par leur plus forte fréquentation des collèges de l’éducation prioritaire, leur moindre maintien dans les établissements du secteur privé ainsi que leur concentration dans l’agglomération parisienne. Dans le même temps, ces conditions de scolarisation n’expliquent guère l’accroissement des écarts entre classes sociales et sexes.","collège; classes sociales; inégalités scolaires; trajectoires scolaires; mesures de performance; éducation prioritaire; France",7,"Joanie Cayouette-Remblière; Léonard Moulin","MixteS",2,2019,74,4,"(2010,2020]","article",39,"article","2","fr"
"18","mortalité, fécondité et croissance démographique au tibet avant 1950","L’évolution de la population du Tibet avant 1950 est relativement mal connue. En raison d’un manque de données, les affirmations selon lesquelles la population tibétaine aurait décliné ou augmenté restent fortement influencées par des considérations politiques. Selon deux études basées sur des données locales, les caractéristiques démographiques de villages tibétains avant les années 1950 auraient favorisé un léger accroissement de population. Cet article examine si les niveaux de fécondité et de mortalité de l’ensemble de la population tibétaine en Chine, permettent d’aboutir à une conclusion similaire. Avant 1950, environ 4 enfants tibétains sur 10 mourraient avant l’âge de 5 ans, ce qui correspond à une espérance de vie à la naissance d’environ 32 ans. La fécondité oscillait entre 4,5 et 5,0 enfants par femme. La combinaison de ces estimations démographiques montre que le niveau de fécondité était donc suffisant pour surmonter le risque de déclin causé par une mortalité élevée. Les informations démographiques examinées pour l’ensemble de la population tibétaine en Chine apportent la preuve d’une augmentation de la population tibétaine avant 1950, et corroborent les conclusions basées sur les données locales.","Tibet; Chine; estimation de la mortalité; estimation de la fécondité; croissance démographique; population du passé",6,"Thomas Spoorenberg; Camille Richou","MixteS",2,2019,74,4,"(2010,2020]","notes de recherche et documents",40,"article","2","fr"
"19","évolutions et déterminants de la primo-nuptialité en république populaire de chine : une perspective historique","Tout au long de l’histoire de la République populaire de Chine, l’âge au mariage n’a cessé d’augmenter sous l’effet des politiques étatiques et des évolutions socioéconomiques sans que le mariage ne perde de son attrait. Simultanément, le célibat définitif subi par certains groupes de population – dû à un déséquilibre du rapport des sexes sur le marché matrimonial et aux préférences de genre en termes de choix du conjoint – fait l’objet d’une inquiétude croissante. Cette étude utilise une analyse de survie de type cure afin de modéliser conjointement les déterminants de la probabilité et du calendrier du premier mariage. Nous évaluons les évolutions du mariage parmi plusieurs générations successives à l’aide de données provenant de multiples vagues de l’Enquête sociale générale sur la Chine. Les résultats suggèrent que, pour la plupart des cohortes d’hommes et de femmes, un faible niveau d’éducation correspond à des mariages précoces, mais avec de moindres chances de se marier tout au long de la vie. Pour les plus jeunes cohortes d’hommes, le fait de résider dans des provinces moins développées est associé à une entrée dans le mariage plus précoce, mais à une probabilité réduite de se marier. Parmi les plus jeunes cohortes de femmes, habiter une grande ville apparaît comme le principal facteur d’affaiblissement de l’intensité du mariage.","mariage; Chine; cohorte; modèles de survie cure; modèles de survie Kaplan Meier",5,"Kim Qinzi Xu","Mixte",1,2019,74,3,"(2010,2020]","prix jeune auteur·e",49,"article","1","fr"
"20","le marquis de sade et la question de la population","Dans quatre de ses textes majeurs (Aline et Valcour, Histoire de Juliette, La Nouvelle Justine et La Philosophie dans le boudoir) écrits entre 1795 et 1799, Sade manifeste un intérêt certain pour la question de la population. Il élabore ce qui pourrait s’apparenter à un système cohérent. La propagation de l’espèce humaine est envisagée comme une entrave au bien-être tant à l’échelle collective qu’au niveau individuel. Pour Sade, tout devrait être mis en œuvre pour limiter cette propagation, puisque l’humanité ne peut revendiquer aucun statut d’exception dans la nature. L’abandon d’enfants, l’infanticide, la sodomie ou l’avortement sont alors présentés comme autant de freins à la population. Par ailleurs, comme Malthus à la même époque, Sade craint un accroissement du nombre des pauvres et se montre par conséquent hostile à toute aide envers eux. Au-delà des excès auxquels se livrent les personnages des romans de Sade, dont les « dissertations » illustrent ses conceptions en la matière, les idées développées dans ces œuvres, en raison de leur cohérence et de leur originalité, méritent une véritable attention. Alors que chez Malthus le principe de population légitime en dernier ressort la contrainte morale, pour Sade le principe de plaisir doit toujours prévaloir. La dialectique de la destruction et de la création fonde la théorie sadienne de la population.","Sade; Malthus; nature; matérialisme; plaisir; vice; propagation humaine; sexualité; libertinage,.",9,"Jean-Marc Rohrbasser; Jacques Véron","HommeS",2,2019,74,3,"(2010,2020]","article",50,"article","2","fr"
"21","difficultés économiques et transformation des unions à kinshasa","Kinshasa, mégapole de près de 10 millions d’habitants, a connu d’importantes transformations économiques, sociales et démographiques au cours de ces dernières décennies. Cet article analyse les transformations des pratiques matrimoniales dans un contexte de détérioration des conditions économiques et de pénurie d’emplois. Les données de l’enquête du projet Mafe (Migration entre l’Afrique et l’Europe), réalisée en 2009 à Kinshasa, mettent en évidence le recul des premières unions et des mariages, pour les hommes comme pour les femmes. Des analyses biographiques montrent que les difficultés économiques diminuent les chances de se marier. Les effets des facteurs économiques sont plus prononcés pour les hommes que pour les femmes, et l’écart dans les chances de mariage entre les hommes qui disposent de ressources et ceux qui en ont moins s’est lui aussi accentué au fil du temps. Le coût croissant du mariage, qui repose en grande partie sur le futur marié et sa famille, ainsi que les difficultés croissantes pour répondre à ces exigences financières, expliquent en partie ces résultats. Dans ce contexte, les unions libres et les naissances hors mariage se développent et tendent à se substituer aux mariages.","mariage; union; emploi; RD Congo; Kinshasa; biographie; crise économique",7,"Jocelyn Nappa; Bruno Schoumaker; Albert Phongi; Marie-Laurence Flahaux","MixteS",4,2019,74,3,"(2010,2020]","article",51,"article","4+","fr"
